purchase_id,customer_id,customer_date_of_birth,customer_gender,customer_signup_date,item_id,item_title,item_category,item_price,item_img_filename,item_avg_rating,item_num_ratings,item_release_date,purchase_timestamp,customer_item_views,purchase_item_rating,purchase_device,label
21,CUST_0378,05/09/1979,,07/08/2024,ITEM_0295,Premium Jacket That Stands Out,jacket,1329.55,ITEM_0295.png,3.14,21,12/03/2025,25/03/2025,6,,mobile,1
22,CUST_0702,12/02/1958,,05/03/2025,ITEM_0746,The Modern Suit You Need,suit,2305.5,ITEM_0746.png,3.33,22,22/03/2025,26/03/2025,9,,desktop,1
23,CUST_0708,23/01/1951,male,18/01/2025,ITEM_0651,Exclusive Casual Slacks Collection,slacks,2534.45,ITEM_0651.png,3.51,24,09/03/2025,27/03/2025,4,,desktop,1
24,CUST_0375,12/12/1982,female,27/03/2025,ITEM_0311,Casual Jeans That Stands Out,jeans,1406.33,ITEM_0311.png,3.4,48,19/03/2024,29/03/2025,3,,desktop,1
25,CUST_0256,23/03/1978,male,23/09/2024,ITEM_0286,Premium Shoes That Stands Out,shoes,1304.74,ITEM_0286.png,3.38,26,23/03/2025,30/03/2025,9,,mobile,1
26,CUST_0777,27/07/1958,male,29/03/2025,ITEM_0651,Exclusive Casual Slacks Collection,slacks,2534.45,ITEM_0651.png,3.51,24,09/03/2025,31/03/2025,2,,desktop,1
27,CUST_0006,20/11/2004,female,06/04/2025,ITEM_0186,Premium Blouse That Stands Out,blouse,1231.89,ITEM_0186.png,3.43,36,01/03/2025,06/04/2025,7,,mobile,1
28,CUST_0683,09/01/1971,female,24/03/2025,ITEM_0746,The Modern Suit You Need,suit,2305.5,ITEM_0746.png,3.33,22,22/03/2025,07/04/2025,4,,desktop,1
29,CUST_0676,24/01/1958,female,28/02/2025,ITEM_0746,The Modern Suit You Need,suit,2305.5,ITEM_0746.png,3.33,22,22/03/2025,09/04/2025,4,,desktop,1
30,CUST_0783,19/06/1966,male,11/04/2025,ITEM_0698,Modern Shoes Must Have,shoes,2086.32,ITEM_0698.png,3.49,33,02/02/2025,11/04/2025,8,,mobile,1
31,CUST_0382,14/03/1979,female,03/03/2025,ITEM_0335,Casual Jacket That Stands Out,jacket,1500,ITEM_0335.png,3.75,24,07/04/2025,12/04/2025,2,,mobile,1
32,CUST_0375,12/12/1982,female,27/03/2025,ITEM_0335,Casual Jacket That Stands Out,jacket,1500,ITEM_0335.png,3.75,24,07/04/2025,12/04/2025,7,4,mobile,1
33,CUST_0276,07/10/1973,female,12/04/2025,ITEM_0254,Classic Jacket That Stands Out,jacket,1397.64,ITEM_0254.png,3.54,29,11/04/2025,12/04/2025,3,,mobile,1
34,CUST_0276,07/10/1973,female,12/04/2025,ITEM_0286,Premium Shoes That Stands Out,shoes,1304.74,ITEM_0286.png,3.38,26,23/03/2025,12/04/2025,4,,desktop,1
35,CUST_0319,24/04/1974,male,26/12/2024,ITEM_0381,Premium Shoes Must Have,shoes,1080.65,ITEM_0381.png,3.81,25,27/03/2025,12/04/2025,7,,desktop,1
36,CUST_0276,07/10/1973,female,12/04/2025,ITEM_0311,Casual Jeans That Stands Out,jeans,1406.33,ITEM_0311.png,3.4,48,19/03/2024,12/04/2025,6,,desktop,1
37,CUST_0276,07/10/1973,female,12/04/2025,ITEM_0370,Elegant Jeans Must Have,jeans,1321.03,ITEM_0370.png,3.52,41,03/03/2025,12/04/2025,2,,desktop,1
38,CUST_0349,01/07/1978,male,10/04/2025,ITEM_0352,Classic Jeans Must Have,jeans,1275.4,ITEM_0352.png,3.66,24,04/03/2025,12/04/2025,4,4,desktop,1
39,CUST_0748,21/06/1959,,01/10/2024,ITEM_0746,The Modern Suit You Need,suit,2305.5,ITEM_0746.png,3.33,22,22/03/2025,14/04/2025,7,,desktop,1
40,CUST_0252,03/06/1978,male,18/01/2025,ITEM_0390,Stylish Jeans Must Have,jeans,1200.52,ITEM_0390.png,3.63,33,01/04/2025,14/04/2025,3,4,desktop,1
41,CUST_0025,13/03/2003,,15/04/2025,ITEM_0101,Exclusive Premium Blouse Collection,blouse,1310.13,ITEM_0101.png,3.5,28,16/12/2024,18/04/2025,3,,mobile,1
42,CUST_0378,05/09/1979,,07/08/2024,ITEM_0258,Exclusive Modern Shoes Collection,shoes,1196.05,ITEM_0258.png,3.48,27,09/04/2025,19/04/2025,3,,mobile,1
43,CUST_0256,23/03/1978,male,23/09/2024,ITEM_0341,Step Up Your Style With Classic Shoes,shoes,1289.17,ITEM_0341.png,3.36,18,15/04/2025,19/04/2025,7,5,desktop,1
44,CUST_0259,21/06/1968,female,15/04/2025,ITEM_0272,Classic Shoes That Stands Out,shoes,1175.02,ITEM_0272.png,3.54,20,03/03/2025,19/04/2025,13,,desktop,1
45,CUST_0256,23/03/1978,male,23/09/2024,ITEM_0328,The Premium Jacket You Need,jacket,1184.01,ITEM_0328.png,3.86,27,18/04/2025,20/04/2025,7,,mobile,1
46,CUST_0727,28/08/1959,female,24/04/2025,ITEM_0746,The Modern Suit You Need,suit,2305.5,ITEM_0746.png,3.33,22,22/03/2025,24/04/2025,6,,desktop,1
47,CUST_0748,21/06/1959,,01/10/2024,ITEM_0692,Modern Shoes That Stands Out,shoes,2062.71,ITEM_0692.png,3.45,21,14/04/2025,24/04/2025,4,,desktop,1
48,CUST_0101,25/01/2004,,19/02/2025,ITEM_0079,Step Up Your Style With Elegant Dress,dress,1189.36,ITEM_0079.png,3.79,20,04/04/2025,25/04/2025,6,,mobile,1
49,CUST_0276,07/10/1973,female,12/04/2025,ITEM_0328,The Premium Jacket You Need,jacket,1184.01,ITEM_0328.png,3.86,27,18/04/2025,26/04/2025,12,,mobile,1
50,CUST_0273,23/06/1975,male,18/03/2025,ITEM_0398,Premium Shoes For Every Occasion,shoes,1192.28,ITEM_0398.png,3.35,28,25/04/2025,26/04/2025,7,,desktop,1
51,CUST_0349,01/07/1978,male,10/04/2025,ITEM_0254,Classic Jacket That Stands Out,jacket,1397.64,ITEM_0254.png,3.54,29,11/04/2025,26/04/2025,5,,desktop,1
52,CUST_0340,22/06/1969,female,25/04/2025,ITEM_0341,Step Up Your Style With Classic Shoes,shoes,1289.17,ITEM_0341.png,3.36,18,15/04/2025,26/04/2025,3,5,desktop,1
53,CUST_0367,12/02/1975,female,24/03/2025,ITEM_0321,Casual Jacket Must Have,jacket,1415.54,ITEM_0321.png,3.21,34,12/04/2025,26/04/2025,5,,desktop,1
54,CUST_0375,12/12/1982,female,27/03/2025,ITEM_0398,Premium Shoes For Every Occasion,shoes,1192.28,ITEM_0398.png,3.35,28,25/04/2025,26/04/2025,8,,desktop,1
55,CUST_0342,05/05/1973,male,10/03/2025,ITEM_0328,The Premium Jacket You Need,jacket,1184.01,ITEM_0328.png,3.86,27,18/04/2025,26/04/2025,6,4,desktop,1
56,CUST_0196,25/11/2005,,20/11/2024,ITEM_0079,Step Up Your Style With Elegant Dress,dress,1189.36,ITEM_0079.png,3.79,20,04/04/2025,26/04/2025,4,,mobile,1
57,CUST_0251,14/01/1966,male,27/04/2025,ITEM_0328,The Premium Jacket You Need,jacket,1184.01,ITEM_0328.png,3.86,27,18/04/2025,27/04/2025,8,5,mobile,1
58,CUST_0251,14/01/1966,male,27/04/2025,ITEM_0335,Casual Jacket That Stands Out,jacket,1500,ITEM_0335.png,3.75,24,07/04/2025,27/04/2025,2,,desktop,1
59,CUST_0251,14/01/1966,male,27/04/2025,ITEM_0286,Premium Shoes That Stands Out,shoes,1304.74,ITEM_0286.png,3.38,26,23/03/2025,27/04/2025,4,,desktop,1
60,CUST_0279,05/02/1974,female,03/02/2025,ITEM_0341,Step Up Your Style With Classic Shoes,shoes,1289.17,ITEM_0341.png,3.36,18,15/04/2025,27/04/2025,10,,mobile,1
61,CUST_0778,28/09/1966,male,29/04/2025,ITEM_0698,Modern Shoes Must Have,shoes,2086.32,ITEM_0698.png,3.49,33,02/02/2025,29/04/2025,7,,desktop,1
62,CUST_0243,19/04/1982,male,02/05/2025,ITEM_0335,Casual Jacket That Stands Out,jacket,1500,ITEM_0335.png,3.75,24,07/04/2025,02/05/2025,3,,desktop,1
63,CUST_0243,19/04/1982,male,02/05/2025,ITEM_0311,Casual Jeans That Stands Out,jeans,1406.33,ITEM_0311.png,3.4,48,19/03/2024,03/05/2025,8,,desktop,1
64,CUST_0252,03/06/1978,male,18/01/2025,ITEM_0398,Premium Shoes For Every Occasion,shoes,1192.28,ITEM_0398.png,3.35,28,25/04/2025,03/05/2025,5,,desktop,1
65,CUST_0296,04/11/1980,male,28/04/2025,ITEM_0390,Stylish Jeans Must Have,jeans,1200.52,ITEM_0390.png,3.63,33,01/04/2025,03/05/2025,7,4.5,desktop,1
66,CUST_0296,04/11/1980,male,28/04/2025,ITEM_0258,Exclusive Modern Shoes Collection,shoes,1196.05,ITEM_0258.png,3.48,27,09/04/2025,03/05/2025,4,,desktop,1
67,CUST_0259,21/06/1968,female,15/04/2025,ITEM_0328,The Premium Jacket You Need,jacket,1184.01,ITEM_0328.png,3.86,27,18/04/2025,03/05/2025,8,,mobile,1
68,CUST_0230,13/03/2004,male,29/04/2025,ITEM_0061,Modern Skirt Must Have,skirt,1211.16,ITEM_0061.png,3.77,24,29/04/2025,03/05/2025,8,4.5,desktop,1
69,CUST_0681,24/07/1966,female,25/03/2025,ITEM_0746,The Modern Suit You Need,suit,2305.5,ITEM_0746.png,3.33,22,22/03/2025,06/05/2025,5,,desktop,1
70,CUST_0082,24/12/2004,,14/03/2025,ITEM_0061,Modern Skirt Must Have,skirt,1211.16,ITEM_0061.png,3.77,24,29/04/2025,06/05/2025,10,,mobile,1
71,CUST_0328,01/12/1976,male,22/04/2025,ITEM_0328,The Premium Jacket You Need,jacket,1184.01,ITEM_0328.png,3.86,27,18/04/2025,11/05/2025,6,,desktop,1
72,CUST_0657,15/09/1954,male,14/05/2025,ITEM_0752,Stylish Blouse For Every Occasion,blouse,2356.83,ITEM_0752.png,3.73,19,03/02/2025,14/05/2025,9,,desktop,1
73,CUST_0035,27/04/2004,,15/05/2025,ITEM_0061,Modern Skirt Must Have,skirt,1211.16,ITEM_0061.png,3.77,24,29/04/2025,15/05/2025,2,,mobile,1
74,CUST_0776,07/02/1966,male,16/05/2025,ITEM_0651,Exclusive Casual Slacks Collection,slacks,2534.45,ITEM_0651.png,3.51,24,09/03/2025,16/05/2025,5,,desktop,1
75,CUST_0776,07/02/1966,male,16/05/2025,ITEM_0746,The Modern Suit You Need,suit,2305.5,ITEM_0746.png,3.33,22,22/03/2025,16/05/2025,5,5,desktop,1
76,CUST_0035,27/04/2004,,15/05/2025,ITEM_0101,Exclusive Premium Blouse Collection,blouse,1310.13,ITEM_0101.png,3.5,28,16/12/2024,16/05/2025,5,,mobile,1
77,CUST_0086,04/02/2003,female,14/05/2025,ITEM_0079,Step Up Your Style With Elegant Dress,dress,1189.36,ITEM_0079.png,3.79,20,04/04/2025,16/05/2025,4,5,mobile,1
78,CUST_0237,18/06/1999,male,17/05/2025,ITEM_0153,Exclusive Blouse Must Have,blouse,1181.2,ITEM_0153.png,3.68,31,10/05/2025,17/05/2025,9,,desktop,1
79,CUST_0100,10/12/2004,female,18/07/2024,ITEM_0186,Premium Blouse That Stands Out,blouse,1231.89,ITEM_0186.png,3.43,36,01/03/2025,19/05/2025,5,,mobile,1
80,CUST_0092,10/04/2005,female,19/05/2025,ITEM_0061,Modern Skirt Must Have,skirt,1211.16,ITEM_0061.png,3.77,24,29/04/2025,23/05/2025,6,,mobile,1
81,CUST_0190,09/10/2003,,01/05/2025,ITEM_0061,Modern Skirt Must Have,skirt,1211.16,ITEM_0061.png,3.77,24,29/04/2025,23/05/2025,2,,desktop,1
82,CUST_0092,10/04/2005,female,19/05/2025,ITEM_0101,Exclusive Premium Blouse Collection,blouse,1310.13,ITEM_0101.png,3.5,28,16/12/2024,23/05/2025,4,,mobile,1
83,CUST_0127,21/04/2008,female,08/03/2025,ITEM_0061,Modern Skirt Must Have,skirt,1211.16,ITEM_0061.png,3.77,24,29/04/2025,24/05/2025,5,,mobile,1
84,CUST_0092,10/04/2005,female,19/05/2025,ITEM_0189,The Elegant Dress You Need,dress,1000,ITEM_0189.png,3.27,31,04/05/2025,29/05/2025,3,,mobile,1
85,CUST_0372,19/04/1973,male,31/05/2025,ITEM_0352,Classic Jeans Must Have,jeans,1275.4,ITEM_0352.png,3.66,24,04/03/2025,31/05/2025,4,,desktop,1
86,CUST_0372,19/04/1973,male,31/05/2025,ITEM_0260,Modern Shoes That Stands Out,shoes,1257.95,ITEM_0260.png,3.44,19,21/03/2025,31/05/2025,3,4.5,mobile,1
87,CUST_0372,19/04/1973,male,31/05/2025,ITEM_0285,Step Up Your Style With Classic Jeans,jeans,1032.04,ITEM_0285.png,3.57,27,08/03/2025,31/05/2025,9,,desktop,1
88,CUST_0098,07/06/1999,female,31/01/2025,ITEM_0046,Stylish Skirt Must Have,skirt,1233.41,ITEM_0046.png,3.55,24,28/05/2025,01/06/2025,5,4,mobile,1
89,CUST_0199,18/02/1999,female,02/04/2025,ITEM_0079,Step Up Your Style With Elegant Dress,dress,1189.36,ITEM_0079.png,3.79,20,04/04/2025,01/06/2025,5,,desktop,1
90,CUST_0233,29/06/2000,female,13/01/2025,ITEM_0046,Stylish Skirt Must Have,skirt,1233.41,ITEM_0046.png,3.55,24,28/05/2025,01/06/2025,5,,mobile,1
91,CUST_0664,16/12/1955,male,01/06/2025,ITEM_0698,Modern Shoes Must Have,shoes,2086.32,ITEM_0698.png,3.49,33,02/02/2025,02/06/2025,5,4,mobile,1
92,CUST_0727,28/08/1959,female,24/04/2025,ITEM_0639,Step Up Your Style With Casual Shoes,shoes,2390.2,ITEM_0639.png,3.18,21,31/05/2025,05/06/2025,6,,desktop,1
93,CUST_0136,20/11/1999,female,06/04/2025,ITEM_0132,The Modern Dress You Need,dress,1066.11,ITEM_0132.png,3.53,19,28/05/2025,06/06/2025,2,,mobile,1
94,CUST_0098,07/06/1999,female,31/01/2025,ITEM_0011,The Exclusive Blouse You Need,blouse,1250.87,ITEM_0011.png,3.36,25,07/05/2025,06/06/2025,7,,mobile,1
95,CUST_0186,02/03/2006,,07/06/2025,ITEM_0153,Exclusive Blouse Must Have,blouse,1181.2,ITEM_0153.png,3.68,31,10/05/2025,07/06/2025,5,,desktop,1
96,CUST_0186,02/03/2006,,07/06/2025,ITEM_0079,Step Up Your Style With Elegant Dress,dress,1189.36,ITEM_0079.png,3.79,20,04/04/2025,07/06/2025,2,,mobile,1
97,CUST_0196,25/11/2005,,20/11/2024,ITEM_0011,The Exclusive Blouse You Need,blouse,1250.87,ITEM_0011.png,3.36,25,07/05/2025,07/06/2025,10,4.5,mobile,1
98,CUST_0299,23/10/1968,,08/06/2025,ITEM_0272,Classic Shoes That Stands Out,shoes,1175.02,ITEM_0272.png,3.54,20,03/03/2025,08/06/2025,6,,desktop,1
99,CUST_0299,23/10/1968,,08/06/2025,ITEM_0311,Casual Jeans That Stands Out,jeans,1406.33,ITEM_0311.png,3.4,48,19/03/2024,08/06/2025,5,5,desktop,1
100,CUST_0655,12/08/1963,male,07/06/2025,ITEM_0698,Modern Shoes Must Have,shoes,2086.32,ITEM_0698.png,3.49,33,02/02/2025,09/06/2025,3,4,desktop,1
101,CUST_0035,27/04/2004,,15/05/2025,ITEM_0166,Exclusive Skirt Must Have,skirt,1331.48,ITEM_0166.png,3.71,26,09/06/2025,12/06/2025,3,3.5,mobile,1
102,CUST_0721,15/07/1960,male,25/01/2025,ITEM_0636,The Premium Blouse You Need,blouse,2242.97,ITEM_0636.png,3.76,10,12/06/2025,12/06/2025,8,,desktop,1
103,CUST_0146,10/11/2004,,02/04/2025,ITEM_0186,Premium Blouse That Stands Out,blouse,1231.89,ITEM_0186.png,3.43,36,01/03/2025,12/06/2025,12,,desktop,1
104,CUST_0116,14/10/2001,female,04/04/2025,ITEM_0011,The Exclusive Blouse You Need,blouse,1250.87,ITEM_0011.png,3.36,25,07/05/2025,12/06/2025,6,,mobile,1
105,CUST_0158,12/10/1999,female,29/01/2025,ITEM_0017,The Premium Dress You Need,dress,1390.9,ITEM_0017.png,3.57,25,07/05/2025,13/06/2025,4,,mobile,1
106,CUST_0176,02/02/2001,,12/06/2025,ITEM_0101,Exclusive Premium Blouse Collection,blouse,1310.13,ITEM_0101.png,3.5,28,16/12/2024,13/06/2025,5,,mobile,1
107,CUST_0060,08/01/2003,female,29/05/2025,ITEM_0166,Exclusive Skirt Must Have,skirt,1331.48,ITEM_0166.png,3.71,26,09/06/2025,13/06/2025,2,,mobile,1
108,CUST_0123,12/05/1999,female,11/06/2025,ITEM_0017,The Premium Dress You Need,dress,1390.9,ITEM_0017.png,3.57,25,07/05/2025,13/06/2025,5,,mobile,1
109,CUST_0211,21/02/2000,female,10/04/2025,ITEM_0011,The Exclusive Blouse You Need,blouse,1250.87,ITEM_0011.png,3.36,25,07/05/2025,13/06/2025,6,,mobile,1
110,CUST_0284,16/09/1972,female,10/06/2025,ITEM_0286,Premium Shoes That Stands Out,shoes,1304.74,ITEM_0286.png,3.38,26,23/03/2025,14/06/2025,5,,desktop,1
111,CUST_0752,12/02/1957,male,31/10/2024,ITEM_0639,Step Up Your Style With Casual Shoes,shoes,2390.2,ITEM_0639.png,3.18,21,31/05/2025,17/06/2025,3,,desktop,1
112,CUST_0169,21/05/2001,,26/11/2024,ITEM_0053,The Premium Skirt You Need,skirt,1273.88,ITEM_0053.png,3.26,24,07/06/2025,20/06/2025,4,4,mobile,1
113,CUST_0134,27/04/2002,female,20/06/2025,ITEM_0079,Step Up Your Style With Elegant Dress,dress,1189.36,ITEM_0079.png,3.79,20,04/04/2025,20/06/2025,3,,mobile,1
114,CUST_0134,27/04/2002,female,20/06/2025,ITEM_0101,Exclusive Premium Blouse Collection,blouse,1310.13,ITEM_0101.png,3.5,28,16/12/2024,20/06/2025,8,,desktop,1
115,CUST_0027,26/03/2007,female,17/03/2025,ITEM_0153,Exclusive Blouse Must Have,blouse,1181.2,ITEM_0153.png,3.68,31,10/05/2025,20/06/2025,6,,mobile,1
116,CUST_0366,27/03/1981,female,19/06/2025,ITEM_0295,Premium Jacket That Stands Out,jacket,1329.55,ITEM_0295.png,3.14,21,12/03/2025,21/06/2025,5,,desktop,1
117,CUST_0366,27/03/1981,female,19/06/2025,ITEM_0381,Premium Shoes Must Have,shoes,1080.65,ITEM_0381.png,3.81,25,27/03/2025,21/06/2025,11,,mobile,1
118,CUST_0366,27/03/1981,female,19/06/2025,ITEM_0328,The Premium Jacket You Need,jacket,1184.01,ITEM_0328.png,3.86,27,18/04/2025,21/06/2025,6,,desktop,1
119,CUST_0025,13/03/2003,,15/04/2025,ITEM_0132,The Modern Dress You Need,dress,1066.11,ITEM_0132.png,3.53,19,28/05/2025,22/06/2025,5,5,mobile,1
120,CUST_0045,27/07/2000,female,02/04/2025,ITEM_0079,Step Up Your Style With Elegant Dress,dress,1189.36,ITEM_0079.png,3.79,20,04/04/2025,22/06/2025,9,,mobile,1
121,CUST_0233,29/06/2000,female,13/01/2025,ITEM_0166,Exclusive Skirt Must Have,skirt,1331.48,ITEM_0166.png,3.71,26,09/06/2025,22/06/2025,7,,mobile,1
122,CUST_0138,03/09/1998,female,04/06/2025,ITEM_0115,Step Up Your Style With Premium Blouse,blouse,1166.03,ITEM_0115.png,3.32,14,14/06/2025,23/06/2025,7,,mobile,1
123,CUST_0775,09/10/1954,male,01/02/2025,ITEM_0636,The Premium Blouse You Need,blouse,2242.97,ITEM_0636.png,3.76,10,12/06/2025,26/06/2025,1,4,desktop,1
124,CUST_0648,23/05/1957,male,26/06/2025,ITEM_0636,The Premium Blouse You Need,blouse,2242.97,ITEM_0636.png,3.76,10,12/06/2025,26/06/2025,4,,desktop,1
125,CUST_0648,23/05/1957,male,26/06/2025,ITEM_0692,Modern Shoes That Stands Out,shoes,2062.71,ITEM_0692.png,3.45,21,14/04/2025,26/06/2025,4,,desktop,1
126,CUST_0339,02/09/1971,male,27/06/2025,ITEM_0254,Classic Jacket That Stands Out,jacket,1397.64,ITEM_0254.png,3.54,29,11/04/2025,27/06/2025,4,,desktop,1
127,CUST_0118,09/07/2003,female,27/06/2025,ITEM_0115,Step Up Your Style With Premium Blouse,blouse,1166.03,ITEM_0115.png,3.32,14,14/06/2025,27/06/2025,3,,mobile,1
128,CUST_0035,27/04/2004,,15/05/2025,ITEM_0017,The Premium Dress You Need,dress,1390.9,ITEM_0017.png,3.57,25,07/05/2025,27/06/2025,3,,mobile,1
129,CUST_0295,02/12/1965,male,29/06/2025,ITEM_0286,Premium Shoes That Stands Out,shoes,1304.74,ITEM_0286.png,3.38,26,23/03/2025,29/06/2025,7,,desktop,1
130,CUST_0295,02/12/1965,male,29/06/2025,ITEM_0258,Exclusive Modern Shoes Collection,shoes,1196.05,ITEM_0258.png,3.48,27,09/04/2025,29/06/2025,6,,mobile,1
131,CUST_0295,02/12/1965,male,29/06/2025,ITEM_0352,Classic Jeans Must Have,jeans,1275.4,ITEM_0352.png,3.66,24,04/03/2025,29/06/2025,5,,mobile,1
132,CUST_0645,16/05/1962,female,20/12/2024,ITEM_0639,Step Up Your Style With Casual Shoes,shoes,2390.2,ITEM_0639.png,3.18,21,31/05/2025,30/06/2025,6,,desktop,1
133,CUST_0718,22/04/1966,male,01/07/2025,ITEM_0752,Stylish Blouse For Every Occasion,blouse,2356.83,ITEM_0752.png,3.73,19,03/02/2025,01/07/2025,6,,desktop,1
134,CUST_0718,22/04/1966,male,01/07/2025,ITEM_0651,Exclusive Casual Slacks Collection,slacks,2534.45,ITEM_0651.png,3.51,24,09/03/2025,01/07/2025,4,,desktop,1
135,CUST_0346,01/09/1972,female,02/07/2025,ITEM_0295,Premium Jacket That Stands Out,jacket,1329.55,ITEM_0295.png,3.14,21,12/03/2025,02/07/2025,5,,desktop,1
136,CUST_0077,16/09/2005,male,01/07/2025,ITEM_0189,The Elegant Dress You Need,dress,1000,ITEM_0189.png,3.27,31,04/05/2025,04/07/2025,9,,mobile,1
137,CUST_0209,07/09/2004,,11/06/2025,ITEM_0166,Exclusive Skirt Must Have,skirt,1331.48,ITEM_0166.png,3.71,26,09/06/2025,04/07/2025,6,,mobile,1
138,CUST_0277,01/12/1967,female,05/07/2025,ITEM_0341,Step Up Your Style With Classic Shoes,shoes,1289.17,ITEM_0341.png,3.36,18,15/04/2025,05/07/2025,5,,desktop,1
139,CUST_0294,25/05/1967,male,02/07/2025,ITEM_0375,Premium Shoes Must Have,shoes,1359.41,ITEM_0375.png,3.36,18,07/03/2025,05/07/2025,5,,desktop,1
140,CUST_0294,25/05/1967,male,02/07/2025,ITEM_0272,Classic Shoes That Stands Out,shoes,1175.02,ITEM_0272.png,3.54,20,03/03/2025,05/07/2025,6,,desktop,1
141,CUST_0277,01/12/1967,female,05/07/2025,ITEM_0352,Classic Jeans Must Have,jeans,1275.4,ITEM_0352.png,3.66,24,04/03/2025,05/07/2025,3,,desktop,1
142,CUST_0675,13/06/1958,female,07/07/2025,ITEM_0636,The Premium Blouse You Need,blouse,2242.97,ITEM_0636.png,3.76,10,12/06/2025,07/07/2025,5,,desktop,1
143,CUST_0781,07/01/1959,male,27/02/2025,ITEM_0636,The Premium Blouse You Need,blouse,2242.97,ITEM_0636.png,3.76,10,12/06/2025,08/07/2025,3,,mobile,1
144,CUST_0103,25/02/2005,,08/07/2025,ITEM_0079,Step Up Your Style With Elegant Dress,dress,1189.36,ITEM_0079.png,3.79,20,04/04/2025,08/07/2025,8,,mobile,1
